taxid,species_id,assembly,superkingdom,kingdom,phylum,class,order,family,species,strain_name,genus_original,genus_id,genus
34,34,GCF_006402415.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=MC3.3.5c16,Myxococcus,32.0,Myxococcus
34,34,GCF_006402735.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=MC3.5.9c15,Myxococcus,32.0,Myxococcus
34,34,GCF_015775755.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=DK1622::pDPO-Mxn116-Pvan-Tpase,Myxococcus,32.0,Myxococcus
34,34,GCF_016698685.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=e-3-1,Myxococcus,32.0,Myxococcus
35,35,GCF_000219105.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus macrosporus,strain=HW-1,Corallococcus,83461.0,Corallococcus
43,43,GCF_002305875.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter fuscus,strain=DSM 52655,Cystobacter,42.0,Cystobacter
48,48,GCF_001027285.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium gephyra,strain=DSM 2261,Archangium,47.0,Archangium
52,52,GCF_001189295.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces crocatus,strain=Cm c5,Chondromyces,50.0,Chondromyces
56,56,GCF_002950945.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium cellulosum,strain=So ce26,Sorangium,39643.0,Sorangium
56,56,GCF_004135735.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium cellulosum,strain=So ceGT47,Sorangium,39643.0,Sorangium
56,56,GCF_004135755.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium cellulosum,strain=So ce836,Sorangium,39643.0,Sorangium
63,63,GCF_002222655.1,Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla filiformis,strain=ATCC 15551,Vitreoscilla,59.0,Vitreoscilla
69,69,GCF_002355975.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter enzymogenes,strain=M497-1,Lysobacter,68.0,Lysobacter
69,69,GCF_005954665.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter enzymogenes,strain=YC36,Lysobacter,68.0,Lysobacter
69,69,GCF_017355525.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter enzymogenes,strain=CX03,Lysobacter,68.0,Lysobacter
94,94,GCF_006738645.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Stellaceae,Stella humosa,strain=ATCC 43930,Stella,93.0,Stella
114,114,GCF_003149495.1,Bacteria,,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata obscuriglobus,strain=DSM 5831,Gemmata,113.0,Gemmata
114,114,GCF_008065095.1,Bacteria,,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata obscuriglobus,strain=DSM 5831,Gemmata,113.0,Gemmata
122,122,GCF_007747015.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia maris,strain=CA11,Gimesia,1649453.0,Gimesia
122,122,GCF_008298035.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia maris,strain=DSM 8797,Gimesia,1649453.0,Gimesia
122,122,GCF_009720545.1,Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia maris,strain=DSM 8797,Gimesia,1649453.0,Gimesia
134,134,GCF_009685195.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis parvus,strain=BRCS2,Methylocystis,133.0,Methylocystis
139,139,GCF_002151465.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella burgdorferi,strain=PAli,Borreliella,64895.0,Borreliella
139,139,GCF_002151485.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella burgdorferi,strain=PAbe,Borreliella,64895.0,Borreliella
139,139,GCF_002151505.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella burgdorferi,strain=B31_NRZ,Borreliella,64895.0,Borreliella
139,139,GCF_002442595.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella burgdorferi,strain=B331,Borreliella,64895.0,Borreliella
139,139,GCF_003367295.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella burgdorferi,strain=MM1,Borreliella,64895.0,Borreliella
142,142,GCF_003568645.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia turicatae,strain=BTE5EL,Borrelia,138.0,Borrelia
159,159,GCF_002850235.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira hyodysenteriae,strain=BH718,Brachyspira,29521.0,Brachyspira
159,159,GCF_017751165.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira hyodysenteriae,strain=BHZ755,Brachyspira,29521.0,Brachyspira
159,159,GCF_017751185.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira hyodysenteriae,strain=BHZ526,Brachyspira,29521.0,Brachyspira
159,159,GCF_017751205.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira hyodysenteriae,strain=BHZ375,Brachyspira,29521.0,Brachyspira
159,159,GCF_017751225.1,Bacteria,,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira hyodysenteriae,strain=Bh743-7x,Brachyspira,29521.0,Brachyspira
161,160,GCF_005885795.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema pallidum,strain=X-4,Treponema,157.0,Treponema
162,162,GCF_008152505.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=S11.1,Treponema,157.0,Treponema
162,162,GCF_008152825.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=S2.3,Treponema,157.0,Treponema
162,162,GCF_008153055.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=B31.4,Treponema,157.0,Treponema
162,162,GCF_008153205.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=B36.5,Treponema,157.0,Treponema
162,162,GCF_008153345.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=B43.1,Treponema,157.0,Treponema
162,162,GCF_013348685.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=KS1,Treponema,157.0,Treponema
162,162,GCF_017161245.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=T320A,Treponema,157.0,Treponema
162,162,GCF_017161285.1,Bacteria,,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema phagedenis,strain=Reiter,Treponema,157.0,Treponema
173,173,GCF_005222565.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira interrogans,strain=FMAS_KW1,Leptospira,171.0,Leptospira
173,173,GCF_005222585.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira interrogans,strain=FMAS_KW2,Leptospira,171.0,Leptospira
173,173,GCF_005222625.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira interrogans,strain=FMAS_AW1,Leptospira,171.0,Leptospira
176,173,GCF_008118365.1,Bacteria,,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira interrogans,strain=L53,Leptospira,171.0,Leptospira
192,192,GCF_000632475.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=Az39,Azospirillum,191.0,Azospirillum
192,192,GCF_001315015.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=Sp 7,Azospirillum,191.0,Azospirillum
192,192,GCF_005222145.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=MTCC4038,Azospirillum,191.0,Azospirillum
192,192,GCF_005222165.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=MTCC4035,Azospirillum,191.0,Azospirillum
192,192,GCF_005222205.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=MTCC4039,Azospirillum,191.0,Azospirillum
192,192,GCF_008274945.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=Sp 7,Azospirillum,191.0,Azospirillum
192,192,GCF_008274965.1,Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum brasilense,strain=Cd,Azospirillum,191.0,Azospirillum
195,195,GCF_000954195.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=FB1,Campylobacter,194.0,Campylobacter
195,195,GCF_001417635.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=HC2-48,Campylobacter,194.0,Campylobacter
195,195,GCF_001639125.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=YH501,Campylobacter,194.0,Campylobacter
195,195,GCF_001717605.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=14983A,Campylobacter,194.0,Campylobacter
195,195,GCF_001865455.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=YF2105,Campylobacter,194.0,Campylobacter
195,195,GCF_001865475.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=MG1116,Campylobacter,194.0,Campylobacter
195,195,GCF_001865495.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=BP3183,Campylobacter,194.0,Campylobacter
195,195,GCF_001865515.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=WA333,Campylobacter,194.0,Campylobacter
195,195,GCF_001865535.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=ZV1224,Campylobacter,194.0,Campylobacter
195,195,GCF_001865555.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=BG2108,Campylobacter,194.0,Campylobacter
195,195,GCF_001936355.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=YH502,Campylobacter,194.0,Campylobacter
195,195,GCF_002024185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=aerotolerant OR12,Campylobacter,194.0,Campylobacter
195,195,GCF_002407145.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=CFSAN032805,Campylobacter,194.0,Campylobacter
195,195,GCF_002843985.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=YH503,Campylobacter,194.0,Campylobacter
195,195,GCF_003030205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=CFSAN054106,Campylobacter,194.0,Campylobacter
195,195,GCF_004307315.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=RM2228,Campylobacter,194.0,Campylobacter
195,195,GCF_005517455.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=S9,Campylobacter,194.0,Campylobacter
195,195,GCF_008727315.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=AR-0420,Campylobacter,194.0,Campylobacter
195,195,GCF_008727495.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=AR-0411,Campylobacter,194.0,Campylobacter
195,195,GCF_009649055.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=CFSAN032805,Campylobacter,194.0,Campylobacter
195,195,GCF_009730395.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=FDAARGOS_735,Campylobacter,194.0,Campylobacter
195,195,GCF_010232325.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=16SHKX65C,Campylobacter,194.0,Campylobacter
195,195,GCF_013391125.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=20A420,Campylobacter,194.0,Campylobacter
195,195,GCF_014705905.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=PSU-32,Campylobacter,194.0,Campylobacter
195,195,GCF_014906165.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=meC0467,Campylobacter,194.0,Campylobacter
195,195,GCF_014906185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=meC0280,Campylobacter,194.0,Campylobacter
195,195,GCF_014906205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=meC0281,Campylobacter,194.0,Campylobacter
195,195,GCF_016127675.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=FDAARGOS_1028,Campylobacter,194.0,Campylobacter
195,195,GCF_018176575.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=CC19DZ036,Campylobacter,194.0,Campylobacter
195,195,GCF_018176655.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli,strain=CC19DZ037,Campylobacter,194.0,Campylobacter
196,196,GCF_011600845.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFV08A1102-42A,Campylobacter,194.0,Campylobacter
196,196,GCF_011600855.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFF02A725-35A,Campylobacter,194.0,Campylobacter
196,196,GCF_011600945.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFF00A031,Campylobacter,194.0,Campylobacter
196,196,GCF_011600955.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFViADRI1362,Campylobacter,194.0,Campylobacter
196,196,GCF_011600995.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFF09A980,Campylobacter,194.0,Campylobacter
196,196,GCF_011601005.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFV08A948-2A,Campylobacter,194.0,Campylobacter
196,196,GCF_011601375.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus,strain=CFViADRI545,Campylobacter,194.0,Campylobacter
197,197,GCF_000759575.2,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=G1,Campylobacter,194.0,Campylobacter
197,197,GCF_001314285.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=RM1285,Campylobacter,194.0,Campylobacter
197,197,GCF_001412295.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJM1cam,Campylobacter,194.0,Campylobacter
197,197,GCF_001457695.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=NCTC11351,Campylobacter,194.0,Campylobacter
197,197,GCF_001506185.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC519,Campylobacter,194.0,Campylobacter
197,197,GCF_001506205.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC002,Campylobacter,194.0,Campylobacter
197,197,GCF_001506225.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC534,Campylobacter,194.0,Campylobacter
197,197,GCF_001506245.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC536,Campylobacter,194.0,Campylobacter
197,197,GCF_001506265.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC073,Campylobacter,194.0,Campylobacter
197,197,GCF_001506285.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC521,Campylobacter,194.0,Campylobacter
197,197,GCF_001506305.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC526,Campylobacter,194.0,Campylobacter
197,197,GCF_001506345.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC036,Campylobacter,194.0,Campylobacter
197,197,GCF_001506365.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC524,Campylobacter,194.0,Campylobacter
197,197,GCF_001506385.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC016,Campylobacter,194.0,Campylobacter
197,197,GCF_001506405.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC041,Campylobacter,194.0,Campylobacter
197,197,GCF_001506425.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC535,Campylobacter,194.0,Campylobacter
197,197,GCF_001506445.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC092,Campylobacter,194.0,Campylobacter
197,197,GCF_001506465.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC530,Campylobacter,194.0,Campylobacter
197,197,GCF_001506485.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC532,Campylobacter,194.0,Campylobacter
197,197,GCF_001506505.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC529,Campylobacter,194.0,Campylobacter
197,197,GCF_001506525.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC531,Campylobacter,194.0,Campylobacter
197,197,GCF_001506545.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC062,Campylobacter,194.0,Campylobacter
197,197,GCF_001506565.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC059,Campylobacter,194.0,Campylobacter
197,197,GCF_001506585.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC032,Campylobacter,194.0,Campylobacter
197,197,GCF_001506605.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC033,Campylobacter,194.0,Campylobacter
197,197,GCF_001506625.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC537,Campylobacter,194.0,Campylobacter
197,197,GCF_001506645.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC542,Campylobacter,194.0,Campylobacter
197,197,GCF_001506665.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC528,Campylobacter,194.0,Campylobacter
197,197,GCF_001506685.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC538,Campylobacter,194.0,Campylobacter
197,197,GCF_001506705.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC520,Campylobacter,194.0,Campylobacter
197,197,GCF_001506725.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC014,Campylobacter,194.0,Campylobacter
197,197,GCF_001506745.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC039,Campylobacter,194.0,Campylobacter
197,197,GCF_001506765.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC085,Campylobacter,194.0,Campylobacter
197,197,GCF_001506785.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC052,Campylobacter,194.0,Campylobacter
197,197,GCF_001506805.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC527,Campylobacter,194.0,Campylobacter
197,197,GCF_001506825.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC078,Campylobacter,194.0,Campylobacter
197,197,GCF_001506845.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC523,Campylobacter,194.0,Campylobacter
197,197,GCF_001506865.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC540,Campylobacter,194.0,Campylobacter
197,197,GCF_001506885.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC040,Campylobacter,194.0,Campylobacter
197,197,GCF_001506905.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC061,Campylobacter,194.0,Campylobacter
197,197,GCF_001506925.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC539,Campylobacter,194.0,Campylobacter
197,197,GCF_001506945.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC533,Campylobacter,194.0,Campylobacter
197,197,GCF_001506965.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC047,Campylobacter,194.0,Campylobacter
197,197,GCF_001506985.1,Bacteria,,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni,strain=CJ677CC058,Campylobacter,194.0,Campylobacter
