id	name	formula	BioCyc	SEED Compound	UniPathway Compound	KEGG Compound	BioPath Molecule	MetaNetX (MNX) Chemical	Reactome	Human Metabolome Database	UM-BBD	LipidMaps	
pe140_c	Phosphatidylethanolamine (ditetradecanoyl, n-C14:0)	C33H66N1O8P1	META:CPD-17087					MNXM71241		HMDB05313;HMDB08821		LMGP02010352	
ttdca_c	Tetradecanoate (n-C14:0)	C14H27O2	META:CPD-7836	cpd03847		C06424		MNXM314		HMDB00806		LMFA01010014	
pe141_c	Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)	C33H62N1O8P1						MNXM3693					
ttdcea_c	Tetradecenoate (n-C14:1)	C14H25O2		cpd15298				MNXM83847					
hdca_c	Hexadecanoate (n-C16:0)	C16H31O2	META:PALMITATE	cpd00214		C00249;D05341	Palmitate	MNXM108	3632881;390435;426576;76168	HMDB00220;HMDB60083	c1217	LMFA01010001	
pe160_c	Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)	C37H74N1O8P1	META:CPD-12819	cpd15531				MNXM32178		HMDB05317;HMDB08923		LMGP02010037	
hdcea_c	Hexadecenoate (n-C16:1)	C16H29O2	META:CPD-9245	cpd05274		C08362		MNXM950		HMDB03229;HMDB12328;HMDB60082		LMFA01030056;LMFA01030057	
pe161_c	Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)	C37H70N1O8P1	META:CPD-17086	cpd15532				MNXM71458		HMDB05342;HMDB08957		LMGP02010108	
ocdca_c	Octadecanoate (n-C18:0)	C18H35O2	META:STEARIC_ACID	cpd01080		C01530;D00119		MNXM236	428198	HMDB00827		LMFA01010018	
pe180_c	Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)	C41H82N1O8P1	META:CPD-12818	cpd15533				MNXM31536		HMDB05327;HMDB08991		LMGP02010097	
ocdcea_c	Octadecenoate (n-C18:1)	C18H33O2	META:OLEATE-CPD	cpd00536		C00712;D02315		MNXM306		HMDB00207;HMDB02066	c1359	LMFA01030002	
pe181_c	Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)	C41H78N1O8P1		cpd15534				MNXM2150					
2agpg120_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P1						MNXM3450					
2agpg120_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	C18H36O9P1						MNXM3450					
2agpg140_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P1	META:CPD0-2173					MNXM34739					
2agpg140_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	C20H40O9P1	META:CPD0-2173					MNXM34739					
2agpg141_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P1						MNXM3452					
2agpg141_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)	C20H38O9P1						MNXM3452					
2agpg160_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P1	META:CPD-8363					MNXM34740					
2agpg160_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	C22H44O9P1	META:CPD-8363					MNXM34740					
2agpg161_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1						MNXM3453					
2agpg161_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)	C22H42O9P1						MNXM3453					
2agpg180_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P1	META:CPD0-2133					MNXM34812					
2agpg180_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	C24H48O9P1	META:CPD0-2133					MNXM34812					
2agpg181_c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H46O9P1						MNXM3455					
2agpg181_p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	C24H46O9P1						MNXM3455					
pg120_c	Phosphatidylglycerol (didodecanoyl, n-C12:0)	C30H58O10P1		cpd15535				MNXM1771					
pg140_c	Phosphatidylglycerol (ditetradecanoyl, n-C14:0)	C34H66O10P1						MNXM1495					
pg141_c	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)	C34H62O10P1						MNXM2029					
pg160_c	Phosphatidylglycerol (dihexadecanoyl, n-C16:0)	C38H74O10P1	META:CPD-8260	cpd15538				MNXM32179		HMDB10570		LMGP04010986	
pg161_c	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	C38H70O10P1	META:CPD0-2330	cpd15539				MNXM75101					
pg180_c	Phosphatidylglycerol (dioctadecanoyl, n-C18:0)	C42H82O10P1	META:CPD-12822	cpd15540				MNXM75102		HMDB10602		LMGP04010038	
pg181_c	Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)	C42H78O10P1		cpd15541				MNXM1773					
pyr_c	Pyruvate	C3H3O3	META:PYRUVATE	cpd00020	UPC00022	C00022	Pyruvate	MNXM23	113557;29398;389680	HMDB00243	c0159	LMFA01060077	
pap_c	Adenosine 3',5'-bisphosphate	C10H11N5O10P2	META:3-5-ADP	cpd00045	UPC00054	C00054	Adenosine-3-prime,5-prime-diphosphate(PAP)	MNXM45	158466;742343	HMDB00061;HMDB01468			
paps_c	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	META:PAPS	cpd00044	UPC00053	C00053	3-prime-Phosphoadenylylsulfate(PAPS)	MNXM49	158471;741440	HMDB01134			
akg_c	2-Oxoglutarate	C5H4O5	META:2-KETOGLUTARATE;META:CPD-16852	cpd00024	UPC00026	C00026	2-Oxoglutarate	MNXM20	113594;113671;29406;389537;561075	HMDB00208;HMDB02812	c0880		
2aobut_c	L-2-Amino-3-oxobutanoate	C4H7NO3	META:AMINO-OXOBUT	cpd02053;cpd02211	UPC03508	C03214;C03508	L-2-Amino-acetoacetate	MNXM114087		HMDB06454		LMFA01060172	
2dda7p_c	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H10O10P	META:3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	cpd02857	UPC04691	C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	MNXM1219	964909				
glcn_c	D-Gluconate	C6H11O7	META:GLUCONATE	cpd00222	UPC00257	C00257	D-Gluconate	MNXM341		HMDB00625;HMDB03373			
2dhglcn_c	2-Dehydro-D-gluconate	C6H9O7	META:CPD-377	cpd00480;cpd03889		C06473		MNXM582					
2dhglcn_p	2-Dehydro-D-gluconate	C6H9O7	META:CPD-377	cpd00480;cpd03889		C06473		MNXM582					
2dhglcn_e	2-Dehydro-D-gluconate	C6H9O7	META:CPD-377	cpd00480;cpd03889		C06473		MNXM582					
2dhp_c	2-Dehydropantoate	C6H9O4	META:2-DEHYDROPANTOATE	cpd00712	UPC00966	C00966	2-Dehydropantoate	MNXM959					
3mob_c	3-Methyl-2-oxobutanoate	C5H7O3	META:2-KETO-ISOVALERATE	cpd00123	UPC00141	C00141	3-Methyl-2-oxobutanoate	MNXM238		HMDB00019;HMDB04260		LMFA01020274	
fald_c	Formaldehyde	CH2O	META:CARBONYL-GROUP;META:FORMALDEHYDE	cpd00055	UPC00067	C00067;D00017	Formaldehyde	MNXM56	143501;29478;879250	HMDB01426	c0122		
2dr1p_c	2-Deoxy-D-ribose 1-phosphate	C5H9O7P	META:DEOXY-D-RIBOSE-1-PHOSPHATE	cpd00509	UPC00672	C00672	2-prime-Deoxyribose_1-phosphate	MNXM789	112032	HMDB01351			
drib_c	Deoxyribose C5H10O4	C5H10O4	META:2-DEOXYRIBOSE	cpd01796		C02783		MNXM2474					
2obut_c	2-Oxobutanoate	C4H5O3	META:2-OXOBUTANOATE	cpd00094	UPC00109	C00109	2-Oxobutanoate	MNXM159	936714	HMDB00005;HMDB06544	c0360	LMFA01060002	
h_e	H+	H	META:PROTON	cpd00067	UPC00080	C00080	Proton	MNXM1	113529;1470067;156540;163953;193465;194688;2000349;2872447;351626;372511;374900;425969;425978;425999;427899;428040;428548;5668577;70106;74722	HMDB59597			
hco3_c	Bicarbonate	CHO3;HCO3	META:CO3;META:H2CO3;META:HCO3	cpd00242	UPC00288;UPC01353	C00288;C01353	Hydrogen_carbonate	MNXM60	111627;29896;425425	HMDB00595;HMDB03538;HMDB31453			
na1_c	Sodium	Na	META:NA+	cpd00971		C01330		MNXM27	2872443;2892454;425958;74113;83910	HMDB00588			
na1_e	Sodium	Na	META:NA+	cpd00971		C01330		MNXM27	2872443;2892454;425958;74113;83910	HMDB00588			
2hh24dd_c	2-Hydroxyhepta-2-4-dienedioate	C7H6O5						MNXM146251					
24dhhed_c	2,4-Dihydroxyhept-2-enedioate	C7H8O6	META:CPD-15125;META:CPD-804	cpd03327;cpd03708	UPC06201	C05601;C06201		MNXM1623				LMFA01170052;LMFA01170062	
2mahmp_c	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H8N3O7P2	META:AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	cpd02894	UPC04752	C04752		MNXM1135					
4ampm_c	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H8N3O4P	META:AMINO-HYDROXYMETHYL-METHYL-PYR-P	cpd02775	UPC04556	C04556		MNXM790					
2mb2coa_c	Trans-2-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	META:CPD-1083	cpd02125		C03345	2-Methylbut-2-enoyl-CoA	MNXM609	70799	HMDB00993;HMDB02054;HMDB02371;HMDB06871		LMFA07050191;LMFA07050374	
2pg_c	D-Glycerate 2-phosphate	C3H4O7P	META:2-PG	cpd00482	UPC00631	C00631	2-Phospho-D-glycerate	MNXM275	30485	HMDB00362;HMDB03391			
2pglyc_c	2-Phosphoglycolate	C2H2O6P	META:CPD-67	cpd00727	UPC00988	C00988		MNXM2074		HMDB00816;HMDB60148			
2pglyc_e	2-Phosphoglycolate	C2H2O6P	META:CPD-67	cpd00727	UPC00988	C00988		MNXM2074		HMDB00816;HMDB60148			
pi_p	Phosphate	HPO4;HO4P	META:CPD-16459;META:PHOSPHATE-GROUP;META:Pi	cpd00009	UPC00009	C00009;D05467	Phosphate;Phosphate_(protonated)	MNXM9	109277;113548;113551	HMDB00973;HMDB01429;HMDB02105;HMDB02142;HMDB05947	c0693		
gdp_c	GDP	C10H12N5O11P2	META:GDP;META:GDP-GROUP	cpd00031	UPC00035	C00035;G10620	Guanosine-5-prime-diphosphate	MNXM30	111349;113525;1467290;205689;29420	HMDB01201			
gtp_c	GTP	C10H12N5O14P3	META:GTP	cpd00038	UPC00044	C00044	Guanosine-5-prime-triphosphate	MNXM51	113573;29438	HMDB01273			
lac__L_c	L-Lactate	C3H5O3	META:L-LACTATE	cpd00159	UPC00186	C00186	L-Lactate	MNXM179	29708;373863	HMDB00190;HMDB03328	c0152		
2shchc_c	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C11H10O6	META:CPD-9923;META:SUCCINYL-OH-CYCLOHEXADIENE-COOH	cpd03451	UPC05817	C05817	SHCHC_asterisk	MNXM1249					
co2_c	CO2	CO2	META:CARBON-DIOXIDE	cpd00011	UPC00011	C00011;D00004	Carbon_dioxide	MNXM13	113528;1237009;159751;159942;189480;29376;389536;5668565	HMDB01967	c0131		
ichor_c	Isochorismate	C10H8O6	META:ISOCHORISMATE	cpd00658	UPC00885	C00885	Isochorismate	MNXM799					
34dhpha_c	3-4-Dihydroxyphenylacetate	C8H7O4;C8H8O4	META:CPD-782	cpd00854	UPC01161	C01161	3,4-Dihydroxyphenylacetate	MNXM645		HMDB01336	c0272		
34dhbz_c	3,4-Dihydroxybenzoate	C7H5O4	META:3-4-DIHYDROXYBENZOATE	cpd00197	UPC00230	C00230		MNXM204	175977	HMDB01856	c0120		
5cmhmsa_c	2-Hydroxy-5-carboxymethylmuconate-Semialdehyde	C8H6O6	META:CPD-783	cpd02828	UPC04642	C04642		MNXM1628			c0305	LMFA01030989	
ahcys_c	S-Adenosyl-L-homocysteine	C14H20N6O5S	META:ADENOSYL-HOMO-CYS	cpd00019	UPC00021	C00021	S-Adenosyl-L-homocysteine	MNXM19	2162252;71285;77502	HMDB00939			
amet_c	S-Adenosyl-L-methionine	C15H23N6O5S	META:S-ADENOSYLMETHIONINE	cpd00017	UPC00019	C00019;D07128	S-Adenosyl-L-methionine	MNXM16	2162265;71284;77087	HMDB01185			
leu__L_c	L-Leucine	C6H13NO2	META:LEU	cpd00107	UPC00123	C00123;D00030	L-Leucine	MNXM140	113580;29588;351964	HMDB00687			
leu__L_e	L-Leucine	C6H13NO2	META:LEU	cpd00107	UPC00123	C00123;D00030	L-Leucine	MNXM140	113580;29588;351964	HMDB00687			
34hpp_c	3-(4-Hydroxyphenyl)pyruvate	C9H7O4						MNXM145630					
msa_c	Malonate semialdehyde	C3H3O3	META:CPD-1135;META:MALONATE-S-ALD	cpd00191;cpd08857	UPC00222	C00222;C12069	3-Oxopropanoate	MNXM244	909783	HMDB11111;HMDB11666	c0287		
3amp_e	3'-AMP	C10H12N5O7P	META:CPD-3706	cpd00988		C01367		MNXM1985		HMDB03540;HMDB06550			
3c3hmp_c	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	META:3-CARBOXY-3-HYDROXY-ISOCAPROATE	cpd01646	UPC02504	C02504	3-Carboxy-3-hydroxyisocaproate	MNXM985		HMDB00402		LMFA01170083	
3c4mop_c	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	META:CPD-7100	cpd02605	UPC04236	C04236		MNXM1602		HMDB12149			
3cmp_e	3'-cmp	C9H12N3O8P	META:CPD-3711	cpd03454		C05822		MNXM2182					
3gmp_e	3'-GMP	C10H12N5O8P	META:CPD-3708	cpd03701		C06193		MNXM2183					
3hdecACP_c	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C394H621O144N96P1S3;C21H39N2O9PRS	META:Beta-hydroxydecanoyl-ACPs	cpd11482		C04619		MNXM7127					
ACP_c	Acyl carrier protein	HSR;HX;C384H603N96O142P1S3;C11H21N2O7PRS	META:ACP;META:Alkyl-Thiols;META:Thiols	cpd11493;cpd11622;cpd11753;cpd11849;cpd12512;cpd13373	UPC00229;UPC11482	C00145;C00229;C00812;C01336;C04298;C11482;C16736	Thiol	MNXM925					
3hddecACP_c	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C396H625O144N96P1S3;C23H43N2O9PRS		cpd11480		C05757		MNXM27066				LMFA07060015	
3hcddec5eACP_c	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]	C23H41N2O9PRS;C396H623O144N96P1S3		cpd15366				MNXM5389					
3hmrsACP_c	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS;C398H629O144N96P1S3	META:R-3-hydroxymyristoyl-ACPs	cpd11484	UPC04688	C04688		MNXM7733					
3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	C398H627O144N96P1S3;C25H45N2O9PRS		cpd15368				MNXM5390					
3hhexACP_c	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS;C390H613O144N96P1S3		cpd11479		C05747		MNXM25370				LMFA07060006	
3hoctACP_c	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C392H617O144N96P1S3;C19H35N2O9PRS	META:3-Hydroxy-octanoyl-ACPs	cpd11483		C04620		MNXM10019					
tdec2eACP_c	Trans-Dec-2-enoyl-[acyl-carrier protein]	C21H37N2O8PRS;C394H619O143N96P1S3		cpd11475		C05754		MNXM28221				LMFA07060012	
tddec2eACP_c	Trans-Dodec-2-enoyl-[acyl-carrier protein]	C23H41N2O8PRS;C396H623O143N96P1S3	META:Dodec-2-enoyl-ACPs	cpd11469		C05758		MNXM23842				LMFA07060016	
t3c5ddeceACP_c	Trans-3-cis-5-dodecenoyl-[acyl-carrier protein]	C396H621O143N96P1S3;C23H39N2O8PRS		cpd15569				MNXM5959					
tmrs2eACP_c	Trans-Tetradec-2-enoyl-[acyl-carrier protein]	C398H627O143N96P1S3;C25H45N2O8PRS	META:Tetradec-2-enoyl-ACPs	cpd11467		C05760		MNXM24297				LMFA07060018	
t3c7mrseACP_c	Trans-3-cis-7-myristoleoyl-[acyl-carrier protein]	C25H43N2O8PRS;C398H625O143N96P1S3		cpd15570				MNXM5960					
